Karen,Villalobos,0110,120.0,10.0,Femenino,25,0,25/04/2023,2040.0
Manuel,Ortiz,0102,1200.0,10.0,Femenino,18,0, 25/05/2020,20400.0
Alex,Carbajal,1235,550.0,36.0,Masculino,63,0,20/21/2000,33660.0
Har,Lee,7410,10.0,20.0,Femenino,20,0,28/04/2023,340.0
Kevin,Joto,0120,59.0,39.0,Otro,20,0,02/04/2023,3911.7
Kendall,Joto,0191,60.0,48.0,Masculino,20,0,01/04/2023,4896.0
Sofia,Acuña,0106,800.0,42.0,Femenino,25,0,10/12/2022,57120.0
Alejandra,Soto,0103,780.0,48.0,Femenino,25,0,14/05/2000,63648.0
Elle,Lee,0018,10.0,47.0,Femenino,47,0,28/04/2023,799.0
Jose,Rodriguez,0109,250.0,25.0,Otro,39,0,12/12/2020,10625.0
Luis,Esquivel,0101,800.0,11.0,Masculino,20,0,01/01/2022,14960.0
Mario,Cerdas,0108,5000.0,20.0,Masculino,19,0,10/12/2021,170000.0
German,Garmendia,8520,85.0,48.0,Masculino,26,0,28/04/2023,6936.0
Jose,Cubero,0115,12.0,40.0,Masculino,23,0,30/04/2023,816.0
Alex,Cubero,0116,10.0,10.0,Otro,19,0,01/05/2023,170.0
Alex,Joto,0117,12.0,12.0,Masculino,34,0,01/05/2023,244.8
Elizandro,Cubero,0118,10.0,12.0,Masculino,21,0,01/05/2023,204.0
Serguey,Joto,0119,12.0,12.0,Femenino,45,0,01/05/2023,244.8
